,Entretien
307,REMPLACER - COURROIE,REMPLACER - ESSUIE-GLACE,REMPLACER - AMORTISSEUR,REMPLACER - AIR DRYER
308,REMPLACER - BIELLE DE RACCORDEMENT
309,RÉPARER - PNEU PNEU ROUE
310,REMPLACER - AMORTISSEUR,RÉPARER - RÉSERVOIR
311,REMPLACER - LUMIÈRE DE JOUR (Day running light)
312,REMPLACER - CHASSIS PIÈCE CARROSSERIE,RÉPARER - CHASSIS PIÈCE CARROSSERIE,REMPLACER - LUMIÈRE DE JOUR (Day running light)
313,REMPLACER - AJUSTEMENT D'USAGE,RÉPARER - AJUSTEMENT D'USAGE
314,VÉRIFIER - FILAGE ÉLECTRIQUE
315,RECHERCHER PANNE (diagnostic) - ESPAR
316,RÉPARER - TRANSMISSION TRANSMISSION AUTOMATIQUE BOÎTE DE TRANSFERT
317,VÉRIFIER - ESPAR
318,VÉRIFIER - CYLINDRE DE FREIN
319,RÉPARER - COMPRESSEUR
320,RÉPARER - PNEU ESSIEUX ROUE
321,TOURNER / MACHINER / FABRIQUER - AJUSTEMENT D'USAGE
322,MODIFIER - CHASSIS DÉMAQUILLER / IDENTIFIER CARROSSERIE
323,VÉRIFIER - CODE DÉFAUT ABS (Fault code)
324,TOURNER / MACHINER / FABRIQUER - AJUSTEMENT D'USAGE
325,REMPLACER - AJUSTEMENT D'USAGE,REMPLACER - AJUSTEMENT D'USAGE
326,REMPLACER - CHAUFFAGE FILTRE A/C SYSTÈME DE CLIMATISATION,VÉRIFIER - VANAIR,RÉPARER - CHASSIS PIÈCE CARROSSERIE
327,VÉRIFIER - ESPAR,RÉPARER - FLÈCHE SIGNALÉTIQUE,VÉRIFIER - CHAUFFAGE CONTRÔLE SYSTÈME DE CLIMATISATION
328,RECHERCHER PANNE (diagnostic) - COMPOSANTE MAJEURE DU MOTEUR
329,RÉPARER - FILAGE ÉLECTRIQUE
330,RÉPARER - BOYAUX À AIR
331,MODIFIER - VANAIR
332,REMPLACER - AJUSTEMENT D'USAGE,MODIFIER - AJUSTEMENT D'USAGE
333,MODIFIER - FILAGE ÉLECTRIQUE
334,REMPLACER - AJUSTEMENT D'USAGE
335,REMPLACER - CHASSIS PIÈCE CARROSSERIE
336,REMPLACER - AJUSTEMENT D'USAGE
337,REMPLACER - AJUSTEMENT D'USAGE
338,RECHERCHER PANNE (diagnostic) - COMPRESSEUR
339,RÉPARER - ALTERNATEUR
340,RÉPARER - COMPRESSEUR
341,REMPLACER - CAPTEUR
342,RECHERCHER PANNE (diagnostic) - VANAIR
343,MODIFIER - COMPRESSEUR
344,RECHERCHER PANNE (diagnostic) - COMPRESSEUR
345,RÉPARER - FLÈCHE SIGNALÉTIQUE
346,RÉPARER - FILAGE ÉLECTRIQUE
347,RÉPARER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
348,VÉRIFIER - COMPRESSEUR
349,INSTALLER - FILAGE ÉLECTRIQUE,REMPLACER - CHASSIS PIÈCE CARROSSERIE,INSTALLER - CHAUFFAGE FILTRE A/C SYSTÈME DE CLIMATISATION
